Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Currency
2022-05-18,2,1900000,1100,Ground out of 2,Super Area,Kebayoran Baru,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-13,2,3800000,800,1 out of 3,Super Area,Menteng,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-16,2,3230000,1000,1 out of 3,Super Area,Cilandak,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-04,2,1900000,800,1 out of 2,Super Area,Wonokromo,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-09,2,1425000,850,1 out of 2,Carpet Area,Lowokwaru,Semarang,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-04-29,2,1330000,600,Ground out of 1,Super Area,Panakkukang,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-21,2,1900000,700,Ground out of 4,Super Area,Umbulharjo,Yogyakarta,Unfurnished,Bachelors,2,Contact Agent,IDR
2022-06-21,1,950000,250,1 out of 2,Super Area,Kelapa Gading,Denpasar,Unfurnished,Bachelors,1,Contact Agent,IDR
2022-06-07,2,4940000,800,1 out of 2,Carpet Area,Kebayoran Baru,Palembang,Unfurnished,Bachelors,2,Contact Agent,IDR
2022-06-20,2,1900000,1000,1 out of 3,Carpet Area,Menteng,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-23,3,4750000,1200,1 out of 4,Carpet Area,Cilandak,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-07,1,950000,400,1 out of 1,Carpet Area,Wonokromo,Surabaya,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-05-14,1,1235000,250,1 out of 4,Carpet Area,Lowokwaru,Bandung,Furnished,Bachelors,1,Contact Owner,IDR
2022-05-09,1,1045000,375,1 out of 2,Carpet Area,Panakkukang,Medan,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-05-05,3,1615000,900,Ground out of 2,Carpet Area,Umbulharjo,Semarang,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-06-01,3,7600000,1286,1 out of 1,Carpet Area,Kelapa Gading,Makassar,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-17,2,1140000,600,1 out of 2,Super Area,Kebayoran Baru,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-20,2,1900000,800,Ground out of 2,Super Area,Menteng,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-09,2,2090000,2000,Ground out of 3,Carpet Area,Cilandak,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-09,2,1140000,660,1 out of 2,Super Area,Wonokromo,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-02,2,1501000,650,1 out of 2,Carpet Area,Lowokwaru,Jakarta,Unfurnished,Family,1,Contact Owner,IDR
2022-06-14,2,1710000,400,2 out of 3,Carpet Area,Panakkukang,Surabaya,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-06-15,1,760000,300,Ground out of 4,Carpet Area,Umbulharjo,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-15,3,1235000,1600,Ground out of 2,Super Area,Kelapa Gading,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-28,1,1520000,400,1 out of 2,Super Area,Kebayoran Baru,Semarang,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-05-22,2,1330000,1000,1 out of 1,Super Area,Menteng,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-18,1,1007000,355,1 out of 1,Carpet Area,Cilandak,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-25,2,1140000,1000,Ground out of 3,Super Area,Wonokromo,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-22,2,1615000,800,4 out of 5,Super Area,Lowokwaru,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-25,2,2375000,850,Ground out of 2,Super Area,Panakkukang,Malang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-21,1,1425000,350,Ground out of 2,Carpet Area,Umbulharjo,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-26,2,2850000,900,Ground out of 2,Carpet Area,Kelapa Gading,Surabaya,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-16,2,1140000,550,1 out of 1,Super Area,Kebayoran Baru,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-29,2,950000,500,Ground out of 2,Carpet Area,Menteng,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-10,3,4180000,1100,2 out of 3,Carpet Area,Cilandak,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-12,2,2850000,850,1 out of 2,Carpet Area,Wonokromo,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-03,2,2375000,800,2 out of 2,Carpet Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors,1,Contact Agent,IDR
